East,North,Value
651939.5469163718,6133570.43254289,0.0
651943.3167551132,6133569.046169505,0.0
651900.9702092104,6133573.932444775,0.0
651896.6896899989,6133573.754317601,0.0
651907.3650895965,6133574.183282987,17.0
651931.9654644176,6133572.368494835,9.0
651905.2154889324,6133574.109364326,6.0
651934.0488388347,6133572.316390584,1.0
651936.0778422557,6133572.819328882,1.0
651917.1638646957,6133571.8903885335,2.0
651919.3145292914,6133571.933410013,6.0
651921.4288917533,6133572.006123615,5.0
651923.5421914114,6133572.109741209,3.0
651906.4852713016,6133571.554108495,12.0
651908.6161908507,6133571.658324832,15.0
651910.7679181271,6133571.670439168,6.0
651912.8999003351,6133571.743754592,1.0
651885.1573909477,6133570.542298896,2.0
651889.4016112441,6133570.750106176,2.0
651891.5304060422,6133570.91612023,2.0
651893.6602633088,6133571.051232328,2.0
651882.5242646218,6133574.783298652,7.0
651883.0535638285,6133572.72854946,9.0
651882.6180304955,6133570.516869511,4.0
651883.055778094,6133570.098766867,4.0
651925.6752363093,6133572.152159827,0.0
651915.0318825246,6133571.817071048,0.0
651887.2872484333,6133570.677407916,0.0
651881.230590264,6133568.798433355,0.0
651895.7933082709,6133571.093636508,2.0
651904.3532890531,6133571.480796166,2.0
651892.4570007513,6133566.028596861,10.0
651894.5692406665,6133566.163103525,10.0
651896.6836056956,6133566.235805235,1.0
651898.815590415,6133566.309113818,2.0
651900.9641321985,6133566.4139322825,1.0
651905.2094191515,6133566.590851712,10.0
651907.3766431822,6133566.665376201,17.0
651909.5086277793,6133566.738689951,3.0
651911.6747890714,6133566.844119533,4.0
651914.3188078353,6133566.904104093,4.0
651916.486031786,6133566.978633056,3.0
651918.6532557176,6133567.053163084,6.0
651920.785240217,6133567.12648228,9.0
651930.5464407811,6133570.030165342,7.0
651928.4144576058,6133569.956841413,7.0
651926.264854716,6133569.882912542,1.0
651924.1141890188,6133569.839887696,1.0
651922.0008882728,6133569.736269846,4.0
651897.941847721,6133571.198453541,0.0
651900.0727674336,6133571.302665751,0.0
651902.2047497341,6133571.375976013,0.0
651890.3271410496,6133565.893485385,0.0
651903.0784971579,6133566.486637057,0.0
651880.5338572898,6133562.895971226,4.0
651882.1028094311,6133564.465950133,12.0
651884.0122903453,6133565.366968395,5.0
651886.0984107454,6133565.748089067,1.0
651888.2127759065,6133565.820786718,1.0
651934.8301524993,6133570.115616343,1.0
651932.6794867867,6133570.072587326,1.0
651885.6155935412,6133567.990073233,1.0
651883.6251869627,6133568.416670938,3.0
651882.976091811,6133566.259527344,6.0
651882.05845023,6133564.216908885,3.0
651933.5045422965,6133567.625801034,2.0
651935.536122745,6133567.540976478,3.0
651909.1230153821,6133569.231531005,9.0
651906.9734122938,6133569.157611528,22.0
651904.8424915383,6133569.053396004,6.0
651900.5277907875,6133568.84315044,4.0
