"LocID";"SeasonID";"PlotID";"SampleDesc";"SampleID"
"sexy1";"24/25";"307";"sep-ergot";"0101-307-B1"
"sexy1";"24/25";"307";"sep-grain";"0101-307-B2"
"sexy1";"24/25";"308";"raw";"0101-308-A"
"sexy1";"24/25";"308";"sep-ergot";"0101-308-B1"
"sexy1";"24/25";"308";"sep-grain";"0101-308-B2"
"sexy1";"24/25";"309";"raw";"0101-309-A"
"sexy1";"24/25";"309";"sep-ergot";"0101-309-B1"
"sexy1";"24/25";"309";"sep-grain";"0101-309-B2"
"sexy1";"24/25";"310";"raw";"0101-310-A"
"sexy1";"24/25";"310";"sep-ergot";"0101-310-B1"
"sexy1";"24/25";"310";"sep-grain";"0101-310-B2"
"sexy1";"24/25";"311";"raw";"0101-311-A"
"sexy1";"24/25";"311";"sep-ergot";"0101-311-B1"
"sexy1";"24/25";"311";"sep-grain";"0101-311-B2"
"sexy1";"24/25";"312";"raw";"0101-312-A"
"sexy1";"24/25";"312";"sep-ergot";"0101-312-B1"
"sexy1";"24/25";"312";"sep-grain";"0101-312-B2"
"sexy1";"24/25";"401";"raw";"0101-401-A"
"sexy1";"24/25";"401";"sep-ergot";"0101-401-B1"
"sexy1";"24/25";"401";"sep-grain";"0101-401-B2"
"sexy1";"24/25";"402";"raw";"0101-402-A"
"sexy1";"24/25";"402";"sep-ergot";"0101-402-B1"
"sexy1";"24/25";"402";"sep-grain";"0101-402-B2"
"sexy1";"24/25";"403";"raw";"0101-403-A"
"sexy1";"24/25";"403";"sep-ergot";"0101-403-B1"
"sexy1";"24/25";"403";"sep-grain";"0101-403-B2"
"sexy1";"24/25";"404";"raw";"0101-404-A"
"sexy1";"24/25";"404";"sep-ergot";"0101-404-B1"
"sexy1";"24/25";"404";"sep-grain";"0101-404-B2"
"sexy1";"24/25";"405";"raw";"0101-405-A"
"sexy1";"24/25";"405";"sep-ergot";"0101-405-B1"
"sexy1";"24/25";"405";"sep-grain";"0101-405-B2"
"sexy1";"24/25";"406";"raw";"0101-406-A"
"sexy1";"24/25";"406";"sep-ergot";"0101-406-B1"
"sexy1";"24/25";"406";"sep-grain";"0101-406-B2"
"sexy1";"24/25";"407";"raw";"0101-407-A"
"sexy1";"24/25";"407";"sep-ergot";"0101-407-B1"
"sexy1";"24/25";"407";"sep-grain";"0101-407-B2"
"sexy1";"24/25";"408";"raw";"0101-408-A"
"sexy1";"24/25";"408";"sep-ergot";"0101-408-B1"
"sexy1";"24/25";"408";"sep-grain";"0101-408-B2"
"sexy1";"24/25";"409";"raw";"0101-409-A"
"sexy1";"24/25";"409";"sep-ergot";"0101-409-B1"
"sexy1";"24/25";"409";"sep-grain";"0101-409-B2"
"sexy1";"24/25";"410";"raw";"0101-410-A"
"sexy1";"24/25";"410";"sep-ergot";"0101-410-B1"
"sexy1";"24/25";"410";"sep-grain";"0101-410-B2"
"sexy1";"24/25";"411";"raw";"0101-411-A"
"sexy1";"24/25";"411";"sep-ergot";"0101-411-B1"
"sexy1";"24/25";"411";"sep-grain";"0101-411-B2"
"sexy1";"24/25";"412";"raw";"0101-412-A"
"sexy1";"24/25";"412";"sep-ergot";"0101-412-B1"
"sexy1";"24/25";"412";"sep-grain";"0101-412-B2"
